Time,On/Off,Brightness (x*10)%,Color temp (x*1000)Kelvin
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,5
10,0,4,6
11,0,3,7
12,0,2,8
13,0,1,8
14,0,1,8
15,0,1,8
16,0,2,8
17,0,2,8
18,1,7,4
19,1,7,4
20,1,8,3
21,1,8,2
22,1,7,1
23,0,6,1
0,0,5,2
1,0,5,2
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,6
10,1,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,4
18,1,7,4
19,1,7,4
20,1,8,3
21,1,8,2
22,1,7,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,6
10,1,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,8,5
18,1,8,5
19,1,7,3
20,1,6,4
21,1,8,3
22,1,6,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,1,5,7
7,1,6,6
8,1,6,6
9,1,7,5
10,0,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,0,8,5
18,1,7,6
19,1,7,4
20,1,8,3
21,1,9,4
22,0,6,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,0,6,6
8,1,7,5
9,1,7,5
10,1,6,4
11,1,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,0,8,5
18,1,6,7
19,1,8,7
20,1,7,7
21,1,7,6
22,1,7,6
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,1,6,5
8,1,6,6
9,1,6,6
10,0,6,4
11,0,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,6
18,1,7,6
19,1,7,6
20,1,8,6
21,1,8,7
22,1,7,8
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,1,7,5
8,1,6,5
9,1,6,4
10,1,6,4
11,0,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,7
18,1,7,7
19,1,8,6
20,1,8,7
21,1,7,8
22,0,7,8
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,0,7,5
8,0,6,5
9,0,6,4
10,0,6,4
11,0,5,5
12,1,5,10
13,1,5,10
14,1,7,10
15,1,7,10
16,1,10,8
17,1,10,8
18,1,10,8
19,1,8,4
20,1,6,4
21,1,6,3
22,1,6,3
23,1,5,2
0,1,5,2
1,1,5,2
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,0,7,5
8,0,6,5
9,0,6,4
10,0,6,4
11,0,5,5
12,0,5,10
13,0,5,10
14,1,8,9
15,1,8,9
16,1,8,9
17,1,8,9
18,1,9,8
19,1,10,8
20,1,10,8
21,1,10,7
22,1,6,6
23,1,6,6
0,1,6,6
1,1,5,6
2,1,5,5
3,1,5,4
4,1,4,4
5,1,4,4
6,1,4,3
7,0,7,5
8,0,6,5
9,0,6,4
10,0,6,4
11,0,5,5
12,0,5,10
13,0,5,10
14,0,8,9
15,0,8,9
16,0,8,9
17,0,8,9
18,1,8,8
19,1,8,8
20,1,8,8
21,1,9,7
22,1,10,7
23,1,8,6
0,0,6,6
1,0,5,6
2,0,5,5
3,0,5,4
4,0,4,4
5,0,4,4
6,0,4,3
7,0,7,5
8,0,6,5
9,1,8,6
10,1,7,6
11,1,7,7
12,0,5,10
13,0,5,10
14,0,8,9
15,0,8,9
16,1,8,10
17,1,8,10
18,1,8,9
19,1,8,9
20,1,10,8
21,1,10,8
22,1,7,8
23,1,7,8
0,1,7,8
1,1,7,6
2,1,6,6
3,1,6,4
4,1,6,4
5,1,4,4
6,1,4,4
7,1,3,4
8,0,6,5
9,0,8,6
10,0,7,6
11,0,7,7
12,0,5,10
13,0,5,10
14,0,8,9
15,0,8,9
16,0,8,10
17,1,9,6
18,1,9,6
19,1,9,6
20,1,9,6
21,1,9,7
22,1,8,7
23,1,8,7
0,1,8,7
1,1,8,7
2,1,8,4
3,1,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,0,6,5
9,0,8,6
10,0,7,6
11,0,7,7
12,0,5,10
13,0,5,10
14,0,8,9
15,0,8,9
16,0,8,10
17,1,5,6
18,1,5,6
19,1,5,6
20,1,4,4
21,1,4,4
22,1,4,3
23,1,4,3
0,0,8,7
1,0,8,7
2,0,8,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,0,6,5
9,1,6,6
10,1,6,6
11,1,6,6
12,1,5,5
13,0,5,10
14,0,8,9
15,0,8,9
16,1,5,6
17,1,5,6
18,1,5,6
19,1,5,6
20,1,4,5
21,1,4,5
22,1,4,5
23,1,3,4
0,1,6,4
1,1,6,3
2,0,8,4
3,0,8,4
4,0,6,4
5,0,4,4
6,0,4,4
7,0,3,4
8,0,6,5
9,1,7,8
10,1,7,10
11,1,7,10
12,1,4,7
13,0,5,10
14,0,8,9
15,0,8,9
16,1,8,4
17,1,8,4
18,1,8,4
19,1,9,3
